Case Number,Paper Title,Bibliography Citations,Source Title,Source Format Type,Notes,In Search It?,"If so, what resource type?"
3,Water is Life: Standing Rock and the Repercussions of the Native Experience,"CDC data show disproportionate COVID-19 impact in American Indian/Alaska Native populations. (2020, August 19). https://www.cdc.gov/media/releases/2020/p0819-covid-19-impact-american-indian-alaska-native.html.",CDC data show disproportionate COVID-19 impact in American Indian/Alaska Native populations,Website/Webpage/Blog/Internet Doc,Gov't Doc,Yes,Newspaper Article
3,Water is Life: Standing Rock and the Repercussions of the Native Experience,"Eittreim, E. (2019). Life at Carlisle, 1879-1918. In Teaching Empire: Native Americans, Filipinos, and US Imperial Education, 1879-1918 (pp. 68-106). University Press of Kansas. doi:10.2307/j.ctvt1sjnr.6","Life at Carlisle, 1879-1918",Book Chapter,"For Book Chapters, the title of the book may be just as, if not more, important",Yes,Ebook Chapter
3,Water is Life: Standing Rock and the Repercussions of the Native Experience,"Fredericks, B. (2007). Australian Aboriginal Women's Health: Reflecting on the Past and Present. Health and History, 9(2), 93-113. doi:10.2307/40111577",Australian Aboriginal Women's Health: Reflecting on the Past and Present,Journal Article,,Yes,Article
3,Water is Life: Standing Rock and the Repercussions of the Native Experience,"Jewett, C., & Garavan, M. (2018, December 20). Water is life – an indigenous perspective from a Standing Rock Water Protector. Community Development Journal, Volume 54, Issue 1, January 2019, Pages 42-58, https://academic.oup.com/cdj/article/54/1/42/5255236.",Water is life – an indigenous perspective from a Standing Rock Water Protector.,Journal Article,,Yes,Article
3,Water is Life: Standing Rock and the Repercussions of the Native Experience,"McGuffin, D. (2020, February 12). Indigenous Groups Block Gas Pipeline In Canada And Spark Solidarity Protests. https://www.npr.org/2020/02/12/805397083/indigenous-groups-block-gas-pipeline-in-canada-an d-spark-solidarity-protests.",Indigenous Groups Block Gas Pipeline In Canada And Spark Solidarity Protests,Website/Webpage/Blog/Internet Doc,,Yes,Text Resource
3,Water is Life: Standing Rock and the Repercussions of the Native Experience,"Mengden, W. (2017). Indigenous People, Human Rights, and Consultation: The Dakota Access Pipeline. American Indian Law Review, 41(2), 441-466. Retrieved December 8, 2020, from https://www.jstor.org/stable/26492269","Indigenous People, Human Rights, and Consultation: The Dakota Access Pipeline",Journal Article,,Yes,Article
3,Water is Life: Standing Rock and the Repercussions of the Native Experience,"Neville, A., & Anderson, A. (2013). The Diminishment of the Great Sioux Reservation: Treaties, Tricks, and Time. Great Plains Quarterly, 33(4), 237-251. Retrieved December 8, 2020, from h ttp://www.jstor.org/stable/24467580","The Diminishment of the Great Sioux Reservation: Treaties, Tricks, and Time",Journal Article,,Yes,Article
3,Water is Life: Standing Rock and the Repercussions of the Native Experience,"Walker, M. (2020, October 8). 'A Devastating Blow': Virus Kills 81 Members of Native American Tribe. https://www.nytimes.com/2020/10/08/us/choctaw-indians-coronavirus.html.",A Devastating Blow': Virus Kills 81 Members of Native American Tribe,Newspaper Article,,Yes,Newspaper Article
3,Water is Life: Standing Rock and the Repercussions of the Native Experience,"Williams, T. (2012, May 23). For Native American Women, Scourge of Rape, Rare Justice. https://www.nytimes.com/2012/05/23/us/native-americans-struggle-with-high-rate-of-rape.html.","For Native American Women, Scourge of Rape, Rare Justice",Newspaper Article,,Yes,Newspaper Article
3,Water is Life: Standing Rock and the Repercussions of the Native Experience,Water Problems on the Standing Rock Sioux Reservation: Hearing before the Senate Committee on Indian Affairs (Serial 108-758). 108th Cong. (2004).,Water Problems on the Standing Rock Sioux Reservation: Hearing before the Senate Committee on Indian Affairs,Print Book,Gov't Doc,Yes,Print Book
11,11,11,11,11,11,11,11
